character,dialogue,episode
LUKE,And Im stuck here...,episode IV
BIGGS,I thought you were going to the Academy next term.  Youll get your chance to get off this rock.,episode IV
LUKE,Not likely  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... theyve even raided the outskirts of Anchorhead.,episode IV
BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.,episode IV
LUKE,"I know, but hes got enough vaporators going to make the place pay off.  He needs me for just one more season.  I cant leave him now.",episode IV
BIGGS,"I feel for you, Luke, youre going to have to learn what seems to be important or what really is important.  What good is all your uncles work if its taken over by the Empire...  You know theyre starting to nationalize commerce in the central systems...it wont be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.",episode IV
LUKE,It couldnt happen here.  You said it yourself.  The Empire wont bother with this rock.,episode IV
BIGGS,Things always change.,episode IV
LUKE,I wish I was going...  Are you going to be around long ,episode IV
BIGGS,"No, Im leaving in the morning...",episode IV
LUKE,Then I guess I wont see you.,episode IV
BIGGS,Maybe someday...  Ill keep a lookout.,episode IV
LUKE,"Well, Ill be at the Academy next season... after that who knows.  I wont be drafted into the Imperial Starfleet thats for sure...  Take care of yourself, youll always be the best friend Ive got.",episode IV
BIGGS,"So long, Luke.",episode IV
THREEPIO,Artoo-Detoo  Its you  Its you,episode IV
FIRST TROOPER,Someone was in the pod.  The tracks go off in this direction. ,episode IV
SECOND TROOPER,"Look, sir - droids.",episode IV
THREEPIO,Wake up  Wake up,episode IV
THREEPIO,Were doomed.,episode IV
THREEPIO,Do you think theyll melt us down,episode IV
THREEPIO,Dont shoot  Dont shoot  Will this never end,episode IV
BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.",episode IV
LUKE,It looks like we dont have much of a choice but Ill remind him.,episode IV
OWEN,I have no need for a protocol droid.,episode IV
THREEPIO,Sir - not in an environment such as this - thats why Ive also been programmed for over thirty secondary functions that...,episode IV
OWEN,What I really need is a droid that understands the binary languages of moisture vaporators.,episode IV
THREEPIO,Vaporators  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...,episode IV
OWEN,Do you speak Bocce,episode IV
THREEPIO,"Of course I can, sir.  Its like a second language for me...  Im as fluent in Bocce...",episode IV
OWEN,All right shut up Ill take this one.,episode IV
THREEPIO,"Shutting up, sir.",episode IV
OWEN,"Luke, take these two over to the garage, will you  I want you to have both of them cleaned up before dinner.",episode IV
LUKE,But I was going into Toshi Station to pick up some power converters...,episode IV
OWEN,"You can waste time with your friends when your chores are done.  Now, come on, get to it",episode IV
LUKE,"All right, come on  And the red one, come on.  Well, come on, Red, lets go.",episode IV
LUKE,Uncle Owen...,episode IV
OWEN,Yeah,episode IV
LUKE,This R2 unit has a bad motivator.  Look,episode IV
OWEN,"Hey, whatre you trying to push on us",episode IV
THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain.",episode IV
LUKE,Uncle Owen...,episode IV
OWEN,Yeah,episode IV
LUKE,What about that one,episode IV
OWEN,What about that blue one  Well take that one.,episode IV
LUKE,"Yeah, take it away.",episode IV
THREEPIO,"Uh, Im quite sure youll be very pleased with that one, sir.  He really is in first-class condition.  Ive worked with him before.  Here he comes.",episode IV
LUKE,"Okay, lets go.",episode IV
THREEPIO,"Now, dont forget this  Why I should stick my neck out for you is quite beyond my capacity",episode IV
THREEPIO,"Thank the maker  This oil bath is going to feel so good.  Ive got such a bad case of dust contamination, I can barely move",episode IV
LUKE,"It just isnt fair.  Oh, Biggs is right.  Im never gonna get out of here",episode IV
THREEPIO,Is there anything I might do to help ,episode IV
LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock",episode IV
THREEPIO,"I dont think so, sir.  Im only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, Im not even sure which planet Im on.",episode IV
LUKE,"Well, if theres a bright center to the universe, youre on the planet that its farthest from.",episode IV
THREEPIO,"I see, sir.",episode IV
LUKE,"Uh, you can call me Luke.",episode IV
THREEPIO,"I see, sir Luke.",episode IV
LUKE,Just Luke.,episode IV
THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.",episode IV
LUKE,Hello.,episode IV
LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.,episode IV
THREEPIO,"With all weve been through, sometimes Im amazed were in as good condition as we are, what with the Rebellion and all.",episode IV
LUKE,You know of the Rebellion against the Empire,episode IV
THREEPIO,"Thats how we came to be in your service, if you take my meaning, sir.",episode IV
LUKE,Have you been in many battles,episode IV
THREEPIO,"Several, I think.  Actually, theres not much to tell.  Im not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways.",episode IV
LUKE,"Well, my little friend, youve got something jammed in here real good.  Were you on a starcruiser or...",episode IV
LEIA,"Help me, Obi-Wan Kenobi.  Youremy only hope.",episode IV
LUKE,Whats this,episode IV
THREEPIO,What is what  He asked you a question...What is that,episode IV
LEIA,"Help me, Obi-Wan Kenobi.  Youre my only hope.  Help me, Obi-Wan Kenobi.  Youre my only hope.",episode IV
