character,dialogue,episode
LUKE,Why are we still moving towards it,episode IV
HAN,Were caught in a tractor beam  Its pulling us in,episode IV
LUKE,But theres gotta be something you can do,episode IV
HAN,"Theres nothin I can do about it, kid.  Im in full power.  Im going to have to shut down.  But theyre not going to get me without a fight",episode IV
BEN,You cant win.  But there are alternatives to fighting.,episode IV
VOICE OVER DEATH STAR INTERCOM,Clear Bay twenty-three-seven.  We are opening the magnetic field.,episode IV
OFFICER,To your stations,episode IV
OFFICER,Come with me.,episode IV
OFFICER,Close all outboard shields  Close all outboard shields,episode IV
TARKIN,Yes.,episode IV
VOICE,Weve captured a freighter entering the remains of the Alderaan system.  Its markings match those of a ship that blasted its way out of Mos Eisley.,episode IV
VADER,They must be trying to return the stolen plans to the princess.  She may yet be of some use to us.,episode IV
VOICE,Unlock one-five-seven and nine. Release charges.,episode IV
OFFICER,"Theres no one on board, sir.  According to the log, the crew abandoned ship right after takeoff.  It must be a decoy, sir.  Several of the escape pods have been jettisoned.",episode IV
VADER,Did you find any droids,episode IV
OFFICER,"No, sir.  If there were any on board, they must also have jettisoned.",episode IV
VADER,Send a scanning crew on board.  I want every part of this ship checked.,episode IV
OFFICER,"Yes, sir.",episode IV
VADER,I sense something... a presence I havent felt since...,episode IV
OFFICER,Get me a scanning crew in here on the double.  I want every part of this ship checked,episode IV
LUKE,"Boy, its lucky you had these compartments.",episode IV
HAN,"I use them for smuggling.  I never thought Id be smuggling myself in them.  This is ridiculous.  Even if I could take off, Id never get past the tractor beam.",episode IV
BEN,Leave that to me,episode IV
HAN,Damn fool. I knew that you were going to say that,episode IV
BEN,Whos the more foolish... the fool or the fool who follows him,episode IV
TROOPER,"The ships all yours.  If the scanners pick up anything, report it immediately.  All right, lets go.",episode IV
HAN,"Hey down there, could you give us a hand with this",episode IV
GANTRY OFFICER,"TX-four-one-two.  Why arent you at your post  TX-four-one-two, do you copy ",episode IV
GANTRY OFFICER,Take over.  Weve got a bad transmitter.  Ill see what I can do.,episode IV
LUKE,"You know, between his howling and your blasting everything in sight, its a wonder the whole station doesnt know were here.",episode IV
HAN,Bring them on  I prefer a straight fight to all this sneaking around.,episode IV
THREEPIO,"We found the computer outlet, sir.",episode IV
BEN,Plug in.  He should be able to interpret the entire Imperial computer network.,episode IV
THREEPIO,He says hes found the main control to the power beam thats holding the ship here.  Hell try to make the precise location appear on the monitor.,episode IV
THREEPIO,The tractor beam is coupled to the main reactor in seven locations.  A power loss at one of the terminals will allow the ship to leave.,episode IV
BEN,I dont think you boys can help.  I must go alone.,episode IV
HAN,Whatever you say.  Ive done more than I bargained for on this trip already.,episode IV
LUKE,I want to go with you.,episode IV
BEN,"Be patient, Luke.  Stay and watch over the droids.",episode IV
LUKE,But he can...,episode IV
BEN,They must be delivered safely or other star systems will suffer the same fate as Alderaan.  Your destiny lies along a different path from mine.  The Force will be with you... always,episode IV
HAN,"Boy you said it, Chewie.",episode IV
HAN,Where did you dig up that old fossil,episode IV
LUKE,Ben is a great man.,episode IV
HAN,"Yeah, great at getting us into trouble.",episode IV
LUKE,I didnt hear you give any ideas...,episode IV
HAN,"Well, anything would be better than just hanging around waiting for them to pick us up...",episode IV
LUKE,Who do you think...,episode IV
LUKE,What is it,episode IV
THREEPIO,"Im afraid Im not quite sure, sir. He says I found her, and keepsrepeating, Shes found here.",episode IV
LUKE,"Well, who... who has he found",episode IV
THREEPIO,Princess Leia.,episode IV
LUKE,The princess  Shes here,episode IV
HAN,Princess,episode IV
LUKE,Where... where is she,episode IV
HAN,Princess  Whats going on,episode IV
THREEPIO,Level five. Detention block AA-twenty-three.  Im afraid shes scheduled to be terminated.,episode IV
LUKE,"Oh, no  Weve got to do something.",episode IV
HAN,What are you talking about,episode IV
LUKE,The droid belongs to her.  Shes the one in the message.  Weve got to help her.,episode IV
HAN,"Now, look, dont get any funny ideas.  The old man wants us to wait right here.",episode IV
LUKE,"But he didnt know she was here.  Look, will you just find a way back into the detention block",episode IV
HAN,Im not going anywhere.,episode IV
LUKE,"Theyre going to execute her.  Look, a few minutes ago you said you didnt want to just wait here to be captured.  Now all you want to do is stay. ",episode IV
HAN,Marching into the detention area is not what I had in mind.,episode IV
LUKE,But theyre going to kill her,episode IV
HAN,Better her than me...,episode IV
LUKE,Shes rich.,episode IV
HAN,Rich,episode IV
LUKE,"Yes.  Rich, powerful  Listen, if you were to rescue her, the reward would be...",episode IV
HAN,What,episode IV
LUKE,Well more wealth that you can imagine.,episode IV
HAN,"I dont know, I can imagine quite a bit",episode IV
LUKE,Youll get it,episode IV
HAN,I better,episode IV
LUKE,You will...,episode IV
HAN,"All right, kid.  But youd better be right about this",episode IV
LUKE,All right.,episode IV
HAN,Whats your plan,episode IV
LUKE,"Uh... Threepio, hand me those binders there will you",episode IV
LUKE,"Okay.  Now, Im going to put these on you.",episode IV
LUKE,"Okay.  Han, you put these on.",episode IV
HAN,"Dont worry, Chewie.  I think I know what he has in mind.",episode IV
THREEPIO,"Master Luke, sir  Pardon me for asking... but, ah... what should Artoo and I do if were discovered here",episode IV
LUKE,Lock the door,episode IV
HAN,And hope they dont have blasters.,episode IV
THREEPIO,That isnt very reassuring.,episode IV
LUKE,I cant see a thing in this helmet.,episode IV
HAN,This is not going to work.,episode IV
LUKE,Why didnt you say so before,episode IV
HAN,I did say so before,episode IV
OFFICER,Where are you taking this... thing,episode IV
LUKE,Prisoner transfer from Block one-one-three-eight.,episode IV
OFFICER,I wasnt notified.  Ill have to clear it.,episode IV
HAN,Look out  Hes loose,episode IV
LUKE,Hes going to pull us all apart.,episode IV
HAN,Go get him,episode IV
HAN,Weve got to find out which cell this princess of yours is in.  Here it is... cell twenty-one-eight-seven.  You go get her.  Ill hold them here.,episode IV
HAN,Everything is under control.  Situation normal.,episode IV
INTERCOM VOICE,What happened,episode IV
HAN,"Uh... had a slight weapons malfunction.  But, uh, everythings perfectly all right now.  Were fine.  Were all fine here, now, thank you.  How are you",episode IV
INTERCOM VOICE,Were sending a squad up.,episode IV
HAN,"Uh, uh, negative, negative.  We had a reactor leak here now.  Give us a few minutes to lock it down.  Large leak... very dangerous.",episode IV
INTERCOM VOICE,Who is this  Whats your operating number,episode IV
HAN,Boring conversation anyway.Luke  Were going to have company,episode IV
LEIA,Arent you a little short for a stormtrooper,episode IV
LUKE,What  Oh... the uniform.  Im Luke Skywalker.  Im here to rescue you. ,episode IV
LEIA,Youre who,episode IV
LUKE,Im here to rescue you.  Ive got your R2 unit.  Im here with Ben Kenobi.,episode IV
LEIA,Ben Kenobi is here  Where is he,episode IV
LUKE,Come on,episode IV
VADER,He is here...,episode IV
TARKIN,Obi-Wan Kenobi  What makes you think so,episode IV
VADER,A tremor in the Force.  The last time I felt it was in the presence of my old master.,episode IV
TARKIN,Surely he must be dead by now.,episode IV
VADER,Dont underestimate the Force.,episode IV
TARKIN,"The Jedi are extinct, their fire has gone out of the universe.  You, my friend, are all thats left of their religion.",episode IV
TARKIN,Yes.,episode IV
INTERCOM VOICE,"Governor Tarkin, we have an emergency alert in detention block AA-twenty-three.",episode IV
TARKIN,The princess  Put all sections on alert,episode IV
VADER,Obi-Wan is here.  The Force is with him.,episode IV
TARKIN,"If youre right, he must not be allowed to escape.",episode IV
VADER,Escape may not his plan.  I must face him alone.,episode IV
HAN,Chewie,episode IV
HAN,Get behind me  Get behind me,episode IV
HAN,Cant get out that way.,episode IV
LEIA,Looks like you managed to cut off our only escape route.,episode IV
HAN,"Maybe youd like it back in your cell, Your Highness.",episode IV
LUKE,See-Threepio  See-Threepio,episode IV
THREEPIO,Yes sir,episode IV
LUKE,Weve been cut off  Are there any other ways out of the cell bay...What was that  I didnt copy,episode IV
THREEPIO,"I said, all systems have been alerted to your presence, sir.  The main entrance seems to be the only way out all other information on your level is restricted.",episode IV
TROOPER VOICE,Open up in there,episode IV
THREEPIO,"Oh, no",episode IV
LUKE,There isnt any other way out.,episode IV
HAN,I cant hold them off forever  Now what,episode IV
LEIA,"This is some rescue.  When you came in here, didnt you have a plan for getting out",episode IV
HAN,"Hes the brains, sweetheart.",episode IV
LUKE,"Well, I didnt...",episode IV
HAN,What the hell are you doing,episode IV
LEIA,"Somebody has to save our skins.  Into the garbage chute, wise guy.",episode IV
HAN,Get in there you big furry oaf  I dont care what you smell  Get in there and dont worry about it.,episode IV
HAN,Wonderful girl  Either Im going to kill her or Im beginning to like her.  Get in there,episode IV
HAN,Oh  The garbage chute was a really wonderful idea.  What an incredible smell youve discovered  Lets get out of here  Get away from there...,episode IV
LUKE,No  wait,episode IV
LUKE,Will you forget it  I already tried it.  Its magnetically sealed,episode IV
LEIA,Put that thing away  Youre going to get us all killed.,episode IV
HAN,"Absolutely, Your Worship.  Look, I had everything under control until you led us down here.  You know, its not going to take them long to figure out what happened to us.",episode IV
LEIA,It could be worse...,episode IV
HAN,Its worse.,episode IV
LUKE,Theres something alive in here,episode IV
HAN,Thats your imagination.,episode IV
LUKE,Something just moves past my leg  Look  Did you see that,episode IV
HAN,What,episode IV
LUKE,Help,episode IV
HAN,Luke  Luke  Luke,episode IV
LEIA,Luke,episode IV
LEIA,"Luke, Luke, grab a hold of this.",episode IV
LUKE,"Blast it, will you  My guns jammed.",episode IV
HAN,Where,episode IV
LUKE,Anywhere  Oh,episode IV
HAN,Luke  Luke,episode IV
LEIA,Grab him,episode IV
LEIA,What happened,episode IV
LUKE,"I dont know, it just let go of me and disappeared...",episode IV
HAN,Ive got a very bad feeling about this.,episode IV
LUKE,The walls are moving,episode IV
LEIA,Dont just stand there.  Try and brace it with something.,episode IV
LUKE,Wait a minute,episode IV
LUKE,Threepio  Come in Threepio  Threepio  Where could he be,episode IV
FIRST TROOPER,Take overSee to him  Look there,episode IV
THREEPIO,"Theyre madmen  Theyre heading for the prison level.  If you hurry, you might catch them.",episode IV
FIRST OFFICER,Follow me  You stand guard.,episode IV
THREEPIO,Come on,episode IV
THREEPIO,"Oh  All this excitement has overrun the circuits of my counterpart here.  If you dont mind, Id like to take him down to maintenance.",episode IV
TROOPER,All right.,episode IV
LUKE,"Threepio  Come in, Threepio  Threepio",episode IV
HAN,Get to the top,episode IV
LEIA,I cant ,episode IV
LUKE,"Where could he be  Threepio  Threepio, will you come in",episode IV
THREEPIO,They arent here  Something must have happened to them.  See if theyve been captured.,episode IV
THREEPIO,Hurry,episode IV
HAN,One things for sure.  Were all going to be a lot thinnerGet on top of it,episode IV
LEIA,Im trying,episode IV
THREEPIO,"Thank goodness, they havent found them  Where could they be",episode IV
THREEPIO,"Use the comlink  Oh, my  I forgot I turned it off",episode IV
THREEPIO,"Are you there, sir",episode IV
LUKE,Threepio,episode IV
THREEPIO,Weve had some problems...,episode IV
LUKE,"Shut down all the garbage mashers on the detention level, will you  Do you copy",episode IV
LUKE,Shut down all the garbage mashers on the detention level.,episode IV
LUKE,Shut down all the garbage mashers on the detention level.,episode IV
THREEPIO,No.  Shut them all down  Hurry,episode IV
THREEPIO,"Listen to them  Theyre dying, Artoo  Curse my metal body  I wasnt fast enough.  Its all my fault  My poor master",episode IV
LUKE,"Threepio, were all right",episode IV
LUKE,Were all right.  You did great.,episode IV
LUKE,"Hey... hey, open the pressure maintenance hatch on unit number... where are we",episode IV
HAN,Three-two-six-eight-two-seven.,episode IV
HAN,"If we can just avoid any more female advice, we ought to be able to get out of here.",episode IV
LUKE,"Well, lets get moving",episode IV
HAN,Where are you going,episode IV
LEIA,"No, wait.  Theyll hear",episode IV
HAN,"Come here, you big coward",episode IV
HAN,Chewie  Come here,episode IV
LEIA,"Listen. I dont know who you are, or where you came from, but from now on, you do as I tell you.  Okay",episode IV
HAN,"Look, Your Worshipfulness, lets get one thing straight  I takeorders from one person  Me",episode IV
LEIA,Its a wonder youre still alive.Will somebody get this big walking carpet out of my way,episode IV
HAN,No reward is worth this.,episode IV
OFFICER,Secure this area until the alert is canceled.,episode IV
FIRST TROOPER,Give me regular reports.,episode IV
FIRST TROOPER,Do you know whats going on,episode IV
SECOND TROOPER,Maybe its another drill.,episode IV
SECOND TROOPER,What was that,episode IV
FIRST TROOPER,"Oh, its nothing.  Dont worry about it.",episode IV
HAN,There she is.,episode IV
LUKE,"See-Threepio, do you copy",episode IV
THREEPIO,"For the moment.  Uh, were in the main hangar across from the ship.",episode IV
LUKE,Were right above you.  Stand by.,episode IV
LEIA,You came in that thing  Youre braver that I thought.,episode IV
HAN,Nice  Come on,episode IV
FIRST TROOPER,Its them  Blast them,episode IV
HAN,Get back to the ship,episode IV
LUKE,Where are you going  Come back,episode IV
LEIA,He certainly has courage.,episode IV
LUKE,What good will it do us if he gets himself killed  Come on,episode IV
LUKE,I think we took a wrong turn.,episode IV
LEIA,Theres no lock,episode IV
LUKE,That oughta hold it for a while.,episode IV
LEIA,"Quick, weve got to get across.  Find the control that extends the bridge.",episode IV
LUKE,"Oh, I think I just blasted it.",episode IV
LEIA,Theyre coming through,episode IV
LUKE,"Here, hold this.",episode IV
LEIA,Here they come,episode IV
LEIA,For luck,episode IV
THREEPIO,Where could they be,episode IV
TROOPER,Close the blast doors,episode IV
TROOPER,Open the blast doors  Open the blast doors,episode IV
VADER,"Ive been waiting for you, Obi-Wan.  We meet again, at last.  The circle is now complete.",episode IV
VADER,"When I left you, I was but the learner now I am the master.",episode IV
BEN,"Only a master of evil, Darth.",episode IV
VADER,"Your powers are weak, old man.",episode IV
BEN,"You cant win, Darth.  If you strike me down, I shall become more powerful than you can possibly imagine.",episode IV
HAN,Didnt we just leave this party,episode IV
HAN,What kept you,episode IV
LEIA,We ran into some old friends.,episode IV
LUKE,Is the ship all right,episode IV
HAN,"Seems okay, if we can get to it.Just hope the old man got the tractor beam out of commission.",episode IV
LUKE,Look,episode IV
THREEPIO,"Come on, Artoo, were going",episode IV
HAN,Nows our chance  Go,episode IV
LUKE,No,episode IV
HAN,Come on,episode IV
LEIA,"Come on  Luke, its too late",episode IV
HAN,Blast the door  Kid,episode IV
BEN,"Run, Luke  Run",episode IV
HAN,"I hope the old man got that tractor beam out if commission, or this is going to be a real short trip.  Okay, hit it",episode IV
HAN,Were coming up on the sentry ships.  Hold em off  Angle the deflector shields while I charge up the main guns,episode IV
LUKE,I cant believe hes gone.,episode IV
LEIA,There wasnt anything you could have done.,episode IV
HAN,"Come on, buddy, were not out of this yet",episode IV
HAN,"You in, kid  Okay, stay sharp",episode IV
LEIA,Here they come,episode IV
LUKE,Theyre coming in too fast,episode IV
THREEPIO,Oooh,episode IV
LEIA,Weve lost lateral controls.,episode IV
HAN,"Dont worry, shell hold together.",episode IV
HAN,"You hear me, baby  Hold together",episode IV
LUKE,Got him  I got him,episode IV
HAN,Great kid  Dont get cocky.,episode IV
LEIA,There are still two more of them out there,episode IV
LUKE,Thats it  We did it,episode IV
LEIA,We did it,episode IV
THREEPIO,Help  I think Im meltingThis is all your fault.,episode IV
TARKIN,Are they away,episode IV
VADER,They have just made the jump into hyperspace.,episode IV
TARKIN,"Youre sure the homing beacon is secure aboard their ship  Im taking an awful risk, Vader.  This had better work.",episode IV
HAN,"Not a bad bit of rescuing, huh  You know, sometimes I even amaze myself.",episode IV
LEIA,"That doesnt sound too hard.  Besides, they let us go.  Its the only explanation for the ease of our escape.",episode IV
HAN,Easy... you call that easy,episode IV
LEIA,Their tracking us,episode IV
HAN,"Not this ship, sister.",episode IV
LEIA,At least the information in Artoo is still intact.,episode IV
HAN,Whats so important  Whats he carrying,episode IV
LEIA,"The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  Its not over yet",episode IV
HAN,"It is for me, sister  Look, I aint in this for your revolution, and Im not in it for you, Princess.  I expect to be well paid.  Im in it for the money",episode IV
LEIA,"You neednt worry about your reward.  If money is all that you love, then thats what youll receive",episode IV
LEIA,Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone.,episode IV
LUKE,I care,episode IV
LUKE,"So... what do you think of her, Han",episode IV
HAN,"Im trying not to, kid",episode IV
LUKE,Good...,episode IV
HAN,"Still, shes got a lot of spirit.  I dont know, what do you think  Do you think a princess and a guy like me...",episode IV
LUKE,No,episode IV
WILLARD,Youre safe  We had feared the worst.,episode IV
WILLARD,"When we heard about Alderaan, we were afraid that you were... lost along with your father.",episode IV
LEIA,"We dont have time for our sorrows, commander.  The battle station has surely tracked us here.Its the only explanation for the ease of our escape.  You must use the information in this R2 unit to plan the attack.  It is our only hope.",episode IV
TARKIN,Yes.,episode IV
DEATH STAR INTERCOM VOICE,We are approaching the planet Yavin.  The Rebel base is on a moon on the far side.  We are preparing to orbit the planet.,episode IV
DODONNA,The battle station is heavily shielded and carries a firepower greater than half the star fleet.Its defenses are designed around a direct large-scale assault.  A small one-man fighter should be able to penetrate the outer defense.,episode IV
GOLD LEADER,"Pardon me for asking, sir, but what good are snub fighters going to be against that",episode IV
DODONNA,"Well, the Empire doesnt consider a small one-man fighter to be any threat, or theyd have a tighter defense.  An analysis of the plans provided by Princess Leia has demonstrated a weakness in the battle station.",episode IV
DODONNA,"The approach will not be easy.  You are required to maneuver straight down this trench and skim the surface to this point.  The target area is only two meters wide.  Its a small thermal exhaust port, right below the main port.  The shaft leads directly to the reactor system.  A precise hit will start a chain reaction which should destroy the station.",episode IV
DODONNA,"Only a precise hit will set up a chain reaction.  The shaft is ray-shielded, so youll have to use proton torpedoes.",episode IV
WEDGE,"Thats impossible, even for a computer.",episode IV
LUKE,Its not impossible.  I used to bullseye womp rats in my T-sixteen back home.  Theyre not much bigger than two meters.,episode IV
DODONNA,Man your ships  And may the Force be with you,episode IV
DEATH STAR INTERCOM VOICE,Orbiting the planet at maximum velocity.  The moon with the Rebel base will be in range in thirty minutes.,episode IV
VADER,This will be a day long remembered.  It has seen the end of Kenobi and it will soon see the end of the Rebellion.,episode IV
MAN,"All flight troops, man your stations.  All flight troops, man your stations.",episode IV
LUKE,So... you got your reward and youre just leaving then,episode IV
HAN,"Thats right, yeah  I got some old debts Ive got to pay off with this stuff.  Even if I didnt, you dont think Id be fool enough to stick around here, do you  Why dont you come with us  Youre pretty good in a fight.  I could use you.",episode IV
LUKE,"Come on  Why dont you take a look around  You know whats about to happen, what theyre up against.  They could use a good pilot like you.  Youre turning your back on them.",episode IV
HAN,"What goods a reward if you aint around to use it  Besides, attacking that battle station aintmy idea of courage.  Its more like suicide.",episode IV
LUKE,"All right.  Well, take care of yourself, Han... guess thats what youre best at, isnt it",episode IV
HAN,"Hey, Luke... may the Force be with you",episode IV
HAN,Whatre you lookin at  I know what Im doing.,episode IV
LEIA,Whats wrong,episode IV
LUKE,"Oh, its Han  I dont know, I really thought hed change his mind. ",episode IV
LEIA,Hes got to follow his own path.  No one can choose it for him.,episode IV
LUKE,I only wish Ben were here.,episode IV
BIGGS,Luke  I dont believe it  Howd you get here... are you going out with us,episode IV
LUKE,"Biggs  Of course, Ill be up there with you  Listen, have I got some stories to tell...",episode IV
RED LEADER,Are you... Luke Skywalker  Have you been checked out on the Incom T-sixty-five,episode IV
BIGGS,"Sir, Luke is the best bushpilot in the outer rim territories.",episode IV
RED LEADER,"I met your father once when I was just a boy.  He was a great pilot.  Youll do all right.  If youve got half of your fathers skill, youll do better than all right.",episode IV
LUKE,"Thank you, sir.  Ill try.",episode IV
BIGGS,"Ive got to get aboard.  Listen, youll tell me your stories when we come back.  All right",episode IV
LUKE,"I told you Id make it someday, Biggs.",episode IV
BIGGS,"You did, all right.  Its going to be like old times Luke. Were a couple of shooting stars thatll never be stopped",episode IV
CHIEF,This R2 unit of your seems a bit beat up.  Do you want a new one,episode IV
LUKE,"Not on your life  That little droid and I have been through a lot together.You okay, Artoo",episode IV
CHIEF,"Okay, easy she goes",episode IV
THREEPIO,"Hang on tight, Artoo, youve got to come back.",episode IV
THREEPIO,"You wouldnt want my life to get boring, would you",episode IV
BEN,"Luke, the Force will be with you.",episode IV
MASSASSI INTERCOM VOICE,"Stand-by alert.  Death Star approaching.  Estimated time to firing range, fifteen minutes.",episode IV
RED LEADER,All wings report in.,episode IV
RED TEN,Red Ten standing by.,episode IV
RED SEVEN,Red Seven standing by.,episode IV
BIGGS,Red Three standing by.,episode IV
PORKINS,Red Six standing by.,episode IV
RED NINE,Red Nine standing by.,episode IV
WEDGE,Red Two standing by.,episode IV
RED ELEVEN,Red Eleven standing by.,episode IV
LUKE,Red Five standing by.,episode IV
RED LEADER,Lock S-foils in attack position.,episode IV
RED LEADER,Were passing through their magnetic field.,episode IV
RED LEADER,Hold tight,episode IV
RED LEADER,Switch your deflectors on.,episode IV
RED LEADER,Double front,episode IV
WEDGE,Look at the size of that thing,episode IV
RED LEADER,"Cut the chatter, Red Two.",episode IV
RED LEADER,"Accelerate to attack speed.  This is it, boys",episode IV
GOLD LEADER,"Red Leader, this is Gold Leader.",episode IV
RED LEADER,"I copy, Gold Leader.",episode IV
GOLD LEADER,Were starting for the target shaft now.,episode IV
RED LEADER,Were in position.  Im going to cut across the axis and try and draw their fire.,episode IV
WEDGE,"Heavy fire, boss  Twenty-threedegrees.",episode IV
RED LEADER,I see it.  Stay low. ,episode IV
LUKE,This is Red Five  Im going in,episode IV
BIGGS,"Luke, pull up",episode IV
BIGGS,Are you all right,episode IV
LUKE,"I got a little cooked, but Im okay.",episode IV
ASTRO-OFFICER,"We count thirty Rebel ships, Lord Vader.  But theyre so small theyre evading our turbo-lasers",episode IV
VADER,Well have to destroy them ship to ship.  Get the crews to their fighters.,episode IV
RED LEADER,"Luke, let me know when youre going in.",episode IV
LUKE,Im on my way in now...,episode IV
RED LEADER,Watch yourself  Theres a lot of fire coming from the right side of that deflection tower.,episode IV
LUKE,Im on it.,episode IV
CONTROL OFFICER,"Squad leaders, weve picked up a new group of signals.  Enemy fighters coming your way.",episode IV
LUKE,My scopes negative.  I dont see anything.,episode IV
RED LEADER,"Keep up your visual scanning.  With all this jamming, theyll be on top of you before your scope can pick them up.",episode IV
RED LEADER,Biggs  Youve picked one up... watch it,episode IV
BIGGS,I cant see it  Where is he,episode IV
BIGGS,"Hes on me tight, I cant shake him... I cant shake him.",episode IV
LUKE,"Hang on, Biggs, Im coming in.",episode IV
LUKE,Got him,episode IV
VADER,Several fighters have broken off from the main group.  Come with me,episode IV
BIGGS,Pull in  Luke... pull in,episode IV
WEDGE,"Watch your back, Luke",episode IV
WEDGE,"Watch your back  Fighters above you, coming in",episode IV
LUKE,"Im hit, but not bad.",episode IV
LUKE,"Artoo, see what you can do with it.  Hang on back there.",episode IV
RED LEADER,Red Six...,episode IV
RED LEADER,Can you see Red Five,episode IV
RED TEN,"Theres a heavy fire zone on this side. Red Five, where are you",episode IV
LUKE,I cant shake him,episode IV
WEDGE,"Im on him, Luke",episode IV
WEDGE,Hold on,episode IV
LUKE,Blast it  Wedge where are you,episode IV
LUKE,"Thanks, Wedge.",episode IV
BIGGS,"Good shooting, Wedge",episode IV
GOLD LEADER,Red Leader...,episode IV
GOLD LEADER,... This is Gold Leader.  Were starting out attack run.,episode IV
RED LEADER,"I copy, Gold Leader.  Move into position.",episode IV
VADER,Stay in attack formation,episode IV
GOLD LEADER,The exhaust post is...,episode IV
GOLD LEADER,... marked and locked in,episode IV
GOLD LEADER,Switch power to front deflection screens.,episode IV
GOLD LEADER,"How many guns do you think, Gold Five",episode IV
GOLD FIVE,"Id say about twenty guns.  Some on the surface, some on the towers.",episode IV
MASSASSI INTERCOM VOICE,Death Star will be in range in five minutes. ,episode IV
GOLD LEADER,Switch to targeting computer.,episode IV
GOLD TWO,Computers locked.  Getting a signal.,episode IV
GOLD TWO,The guns... theyve stopped,episode IV
GOLD FIVE,Stabilize your rear deflectors.  Watch for enemy fighters.,episode IV
GOLD LEADER,Theyve coming in  Three marks at two ten.,episode IV
VADER,Ill take them myself  Cover me,episode IV
WINGMAN,"Yes, sir.",episode IV
GOLD LEADER,I cant maneuver,episode IV
GOLD FIVE,Stay on target.,episode IV
GOLD LEADER,Were too close.,episode IV
GOLD FIVE,Stay on target,episode IV
GOLD LEADER,Loosen up,episode IV
GOLD FIVE,Gold Five to Red Leader...,episode IV
GOLD FIVE,"Lost Tiree, lost Dutch.",episode IV
RED LEADER,"I copy, Gold Five.",episode IV
GOLD FIVE,They came from behind....,episode IV
OFFICER,"Weve analyzed their attack, sir, and there is a danger.  Should I have your ship standing by",episode IV
TARKIN,Evacuate  In out moment of triumph  I think you overestimate their chances,episode IV
VOICE,"Rebel base, three minutes and closing.",episode IV
RED LEADER,"Red Group, this is Red Leader.",episode IV
RED LEADER,Rendezvous at mark six point one.,episode IV
WEDGE,This is Red Two.  Flying towards you.,episode IV
BIGGS,"Red Three, standing by.",episode IV
DODONNA,"Red Leader, this is Base One.  Keep half your group out of range for the next run.",episode IV
RED LEADER,"Copy, Base One.  Luke, take Red Two and Three.  Hold up here and wait for my signal... to start your run.",episode IV
RED LEADER,This is it,episode IV
RED TEN,We should be able to see it by now.,episode IV
RED LEADER,Keep your eyes open for those fighters,episode IV
RED TEN,Theres too much interference,episode IV
RED TEN,"Red Five, can you see them from where you are",episode IV
LUKE,No sign of any... wait,episode IV
LUKE,Coming in point three five.,episode IV
RED TEN,I see them.,episode IV
RED LEADER,Im in range.,episode IV
RED LEADER,Targets coming up,episode IV
RED LEADER,Just hold them off for a few seconds.,episode IV
VADER,Close up formation.,episode IV
RED LEADER,Almost there,episode IV
RED TEN,Youd better let her loose.,episode IV
RED LEADER,Almost there,episode IV
RED TEN,I cant hold them,episode IV
RED LEADER,Its away,episode IV
RED NINE,Its a hit,episode IV
RED LEADER,Negative.,episode IV
RED LEADER,"Negative  It didnt go in, it just impacted on the surface.",episode IV
LUKE,"Red Leader, were right above you.  Turn to point...",episode IV
LUKE,... oh-five well cover for you.,episode IV
RED LEADER,Stay there...,episode IV
RED LEADER,... I just lost my starboard engine.,episode IV
RED LEADER,Get set up for your attack run.,episode IV
DEATH STAR INTERCOM VOICE,"Rebel base, one minute and closing.",episode IV
LUKE,"Biggs, Wedge, lets close it up.  Were going in.  Were going in full throttle.",episode IV
WEDGE,"Right with you, boss.",episode IV
BIGGS,"Luke, at that speed will you be able to pull out in time",episode IV
LUKE,Itll be just like Beggars Canyon back home.,episode IV
BIGGS,Well stay back far enough to cover you.,episode IV
WEDGE,"My scope shows the tower, but I cant see the exhaust port  Are you sure the computer can hit it",episode IV
LUKE,Watch yourself  Increase speed full throttle,episode IV
WEDGE,What about that tower,episode IV
LUKE,You worry about those fighters  Ill worry about the tower,episode IV
LUKE,"Artoo... that, that stabilizers broken loose again  See if you cant lock it down",episode IV
WEDGE,Im hit  I cant stay with you.,episode IV
LUKE,"Get clear, Wedge.",episode IV
LUKE,You cant do any more good back there,episode IV
WEDGE,Sorry,episode IV
VADER,Let him go  Stay on the leader,episode IV
BIGGS,"Hurry, Luke, theyre coming in much faster this time. I cant hold them",episode IV
LUKE,"Artoo, try and increase the power",episode IV
BIGGS,"Hurry up, Luke",episode IV
BIGGS,Wait,episode IV
DEATH STAR INTERCOM VOICE,"Rebel base, thirty seconds and closing.",episode IV
VADER,Im on the leader.,episode IV
THREEPIO,"Hang on, Artoo",episode IV
BEN,"Use the Force, Luke.",episode IV
BEN,"Let go, Luke.",episode IV
VADER,The Force is strong with this one,episode IV
BEN,"Luke, trust me.",episode IV
BASE VOICE,"His computers off.  Luke, you switched off your targeting computer.  Whats wrong",episode IV
LUKE,Nothing.  Im all right.,episode IV
LUKE,Ive lost Artoo,episode IV
MASSASSI INTERCOM VOICE,The Death Star has cleared the planet.  The Death Star has cleared the planet.,episode IV
DEATH STAR INTERCOM VOICE,"Rebel base, in range.",episode IV
TARKIN,You may fire when ready.,episode IV
DEATH STAR INTERCOM VOICE,Commence primary ignition.,episode IV
VADER,I have you now.,episode IV
VADER,What,episode IV
HAN,Yahoo,episode IV
WINGMAN,Look out,episode IV
HAN,"Youre all clear, kid.",episode IV
